lat,lng,name,rating,types,Workspace
39.7662494,-86.1568261,Pearl Street Pizzeria & Pub,4.5,"['meal_delivery', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Launch Indy
39.7526154,-86.1406281,Pure Eatery,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Launch Indy
39.767987,-86.154676,Subito,4.9,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",Launch Indy
39.7709009,-86.1470547,Vida,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",Launch Indy
39.7671818,-86.1551276,Hinata Japanese Fine Dining,4.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",Launch Indy
39.7766517,-86.1454802,Livery,4.7,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Launch Indy
39.7674064,-86.159195,The Capital Grille,4.6,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Launch Indy
39.7669396,-86.1619453,Café Patachou,4.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",Launch Indy
39.7575325,-86.1457864,Bluebeard,4.7,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Launch Indy
39.7653282,-86.1591399,Yard House,4.4,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Launch Indy
39.7737737,-86.1503028,The Rathskeller,4.5,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Launch Indy
39.7673198,-86.1607439,Tony's of Indianapolis,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",Launch Indy
39.7552108,-86.1594982,Greek Islands,4.6,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",Launch Indy
39.7648475,-86.1598029,St. Elmo Steak House,4.7,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Launch Indy
39.7660688,-86.1583121,The Oceanaire Seafood Room,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",Launch Indy
39.7654668,-86.1586887,Nada,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Launch Indy
39.7676051,-86.1600653,Weber Grill Restaurant,4.2,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Launch Indy
39.7666943,-86.161151,The Eagle's Nest,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",Launch Indy
39.7667906,-86.1556927,Fogo de Chão Brazilian Steakhouse,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",Launch Indy
